For_carts -> carts,Rec_carts -> carts,Act_carts -> carts,Score_carts -> carts,For_orders -> orders,Rec_orders -> orders,Act_orders -> orders,Score_orders -> orders,For_orders -> payment,Rec_orders -> payment,Act_orders -> payment,Score_orders -> payment,For_orders -> user,Rec_orders -> user,Act_orders -> user,Score_orders -> user,For_payment -> payment,Rec_payment -> payment,Act_payment -> payment,Score_payment -> payment,For_root -> carts,Rec_root -> carts,Act_root -> carts,Score_root -> carts,For_root -> orders,Rec_root -> orders,Act_root -> orders,Score_root -> orders,For_root -> user,Rec_root -> user,Act_root -> user,Score_root -> user,For_user -> user,Rec_user -> user,Act_user -> user,Score_user -> user,Score_Global,Pred_Global,Label_Global,Threshold_Global
-0.31189018,-0.19877362,0.1013468759755724,0.3114321547250383,-0.005472947,0.064444065,-0.219685822592869,0.2771381864862587,-0.052165046,-0.01830487,-1.9990233295238469,1.9773324423110936,-0.08763042,-0.124438785,-1.4594371326939517,1.3386791840867454,-0.121422894,-0.07725215,-1.9202256439336145,1.8385564198799933,-0.24685061,-0.17764886,0.1026666851949169,0.28723571768517037,-0.021065742,0.011043873,0.326842073365502,0.3190091621274277,-0.08178282,-0.145685,-1.0531268995134997,0.9138321157424617,-0.24786153,-0.19008702,-1.556925699589902,1.3610612277967273,0.9582529567601017,1,1,0.51009949
-0.39027703,-0.32349524,0.1127843573679392,0.4429577752937739,0.11610373,-0.32466367,-1.1586935670189995,0.8781066381447453,0.097581044,-0.17076865,-3.228846695354947,3.084913016191491,0.059719335,-0.5262375,-1.208940269836104,0.741298464351213,-0.12795314,-0.532925,-3.336447470491366,2.844019647543864,-0.2794289,-0.16494015,0.112468563292285,0.28885758695389846,0.102290556,-0.29436213,-0.3475770037977391,0.09288014437839325,-0.19221719,0.043281905,2.344038491426673,2.3243064952182437,-0.20251742,-0.47775638,-0.5567071197987853,0.10647463486207112,1.2004238225486326,1,1,0.51009949
-0.15405238,-0.3647767,0.0972848768141348,0.44098914515043086,0.103904665,-0.34764877,-0.3387013140554857,0.05231330786262896,0.106140845,-0.21045458,-0.9569592561860446,0.7781642157872085,0.14915167,-0.5531896,-1.0393304908602432,0.5563750395505622,-0.003508307,-0.5726454,-1.1172668468577518,0.6015351329369202,-0.19617979,-0.22902873,0.0990979747803124,0.324841812434903,-0.05391161,-0.34071177,0.324474641361271,0.6365063977027284,-0.18766864,-0.0025162883,-0.059867919160091,0.06439653949293543,-0.0860321,-0.5478049,-1.0657786069536124,0.5641509940946017,0.4465858427792132,0,1,0.51009949
-0.19279963,-0.19484256,0.0846108146513726,0.2792490833009507,0.12567309,-0.18556538,0.744730061148763,0.8991715966216328,0.03932998,-0.09220098,0.3761317205163688,0.45517960419087117,0.08928211,-0.22097246,0.7953813414873815,0.985328347593758,-0.03228481,-0.25764832,0.587396489329194,0.8225084575484742,-0.21165211,-0.1817725,0.0877219934636481,0.27248245521129444,-0.041148327,-0.2691713,0.961501437650743,1.2078704381750254,-0.19099082,0.11500035,1.1640530992848677,1.0796518643004698,-0.15037887,-0.38891184,0.9434038956298502,1.3084624413981114,0.8122115875933987,1,0,0.51009949
0.2258797,-0.17832793,0.081208949644898,0.24805026927354704,0.2775556,-0.22624028,-0.6414899126553091,0.4656292245649847,0.16983734,-0.1317603,-1.1259426194300124,1.024342084216065,0.25486362,-0.294949,-1.2758550027517643,1.035887269130167,0.1841377,-0.28131413,-1.1276611354930386,0.8928921845538602,0.2845646,-0.18498126,0.0856015197996369,0.263420808320369,0.33082414,-0.31872767,-0.1083902411104524,0.2332251256750994,-0.21914591,0.10330037,0.3630124840077502,0.2919567416545493,-0.028489172,-0.414787,-1.005161725428832,0.6290045131714469,0.5649342467288987,1,0,0.51009949
0.02912189,-0.18951413,0.165971167536035,0.3336216957881598,0.021674454,-0.24958158,-0.5746559124077585,0.35219993997466825,0.0034411056,-0.16379389,-0.4148042991116472,0.2677339071698316,0.04169909,-0.32295755,-0.6348777360272712,0.34838585397127336,0.058811173,-0.2844646,-0.2636358926848683,0.05099054106822702,0.07099153,-0.22171488,0.1715280202292935,0.3639722627663151,0.044243902,-0.3673337,-0.3313567399080208,0.06993933744465425,-0.091934696,0.11743777,1.266046517488614,1.1695459918650541,-0.14769864,-0.43163526,-0.519872675245756,0.11663107663964636,0.34144673407642556,0,0,0.51009949
-0.022064447,-0.17638122,0.080896308153666,0.2418458468017945,-0.05627934,-0.15295428,-0.8382965385828649,0.6950097523544465,-0.040334698,-0.13217163,-0.0557146522182155,0.07034927621758554,0.005664639,-0.24278936,-0.0048217858149197,0.2152194573761156,0.040019788,-0.16636223,1.0031680347406438,1.1488920593642764,0.05582081,-0.23468205,0.0847205921795162,0.2903523590203318,-0.009889327,-0.28989258,-1.0386657324642254,0.7767734740883424,-0.0025287718,0.07751356,-1.3559688951030855,1.425478222514737,-0.21324238,-0.35414004,0.0547833360104566,0.3948336131243711,0.5843060067624445,1,0,0.51009949
-0.19581053,-0.2450406,0.073382771539697,0.3135003601789563,-0.13173738,-0.11155246,-0.7969864841146761,0.6834155302090937,-0.07781935,-0.14731964,-0.1066245908350808,0.03950607281438012,-0.091067314,-0.21125118,0.099248936515598,0.29848173384025545,-0.11154825,-0.09337163,0.0676090954956271,0.16279838747946995,-0.16483495,-0.3419632,0.0781189033173046,0.40236927954182244,-0.25118265,-0.24292397,-1.0548492320107894,0.811099389963098,-0.04790713,-0.07384272,-4.6056361120255325,4.5343869518549775,-0.22912984,-0.36698014,-2.5132529775533983,2.16005787206033,1.0450683975491537,1,0,0.51009949
-0.382619,-0.22810817,0.0920186519821549,0.3355779022177125,-0.17079583,-0.17735782,-0.2376120793646654,0.06091045616329518,-0.1508757,-0.14725953,0.1320446402750812,0.2796657905898891,-0.1779995,-0.2989961,0.250008932801714,0.5369053642477895,-0.19231468,-0.19884756,1.4189395801520928,1.61713385445839,-0.2939749,-0.2690832,0.093870488048591,0.3654428603659052,-0.18258432,-0.30604073,-0.1459034266956002,0.14779166550563272,0.030744597,0.10410632,1.9983069558744853,1.9015368064051097,-0.3800561,-0.4139235,0.6446871551775334,1.0552239182495473,0.7000209575781411,1,0,0.51009949
-0.18949944,-0.19066681,0.1125606399447789,0.3031107124359479,-0.13496971,-0.12828049,-0.3063599069843064,0.17741049428079228,-0.004420356,-0.16060251,0.0428589763407655,0.18784327090802266,0.027972091,-0.25619185,-0.4237322834592026,0.19595682782043633,-0.099498756,-0.15758562,0.1456392223295278,0.29741615674462984,-0.16418737,-0.24496618,0.112085216526338,0.3489735149186339,-0.20892423,-0.25351694,0.0234931109910727,0.27255078241879943,-0.08404602,0.027930047,1.454969710592169,1.4382372700758164,-0.16936828,-0.3339344,0.0184219149650961,0.3358997000159651,0.3952665255132271,0,0,0.51009949
