device,node,predict,real
cpu,carts,0.44891877869760516,0.2671291357529486
cpu,catalogue,0.05707828671193194,0.0092230149628856
cpu,front_end,-1.0519787780510297,7.435415139229794
cpu,ip6,-0.6424540939519513,4.302486859749734
cpu,ip7,0.007431221175451604,0.6744374849614234
cpu,orders,-0.0140107326080428,-0.0313405763561798
cpu,payment,-0.11613841932883877,-0.1387970589179298
cpu,user,-0.10540268069106971,-0.136100334297664
cpu,shipping,0.2220018305553069,0.2476317176929003
mem,carts,0.27612321955358343,0.200747763047429
mem,catalogue,-4.263375846167503,-2.302470021256432
mem,front_end,-1.1865270788922244,-0.9431097637696142
mem,ip6,-1.0899506756046673,-0.8525998051235002
mem,ip7,0.5969526927758683,0.6492792853718916
mem,orders,-1.533165447537672,-1.5300913006207504
mem,payment,0.9804842555153749,0.9886662366993793
mem,user,0.3818320266855933,0.5200635899599522
mem,shipping,-0.32409575198988244,-0.3523494753727088
