device,node,predict,real
cpu,carts,0.6703666257506983,0.0021079963146881
cpu,catalogue,-0.06558349208814665,8.636219257764788
cpu,front_end,-1.0793499390238466,-0.9130970183961942
cpu,ip6,-0.5180614217085526,-0.6570877677638892
cpu,ip7,0.578927881421039,0.8345953422859635
cpu,orders,-0.006607048544645884,-0.1304882174838878
cpu,payment,-0.12203171140767104,-0.1182019534636542
cpu,user,-0.11403443886029528,-0.2153739618496611
cpu,shipping,0.20840056108815722,0.2012279713440303
mem,carts,0.11750752654569803,0.0803775841079109
mem,catalogue,5.790113660509516,-10.73665050639844
mem,front_end,-0.8993161791827099,-1.5827744670367108
mem,ip6,-1.0631043163353875,-1.402526988394407
mem,ip7,0.2733047003317427,0.2930429143710045
mem,orders,-1.5345289804443887,-1.5391649923271469
mem,payment,0.9209376146759239,0.952301875881441
mem,user,-0.12145436949714454,0.4117584476006736
mem,shipping,-0.3379283040627247,-0.3258616097013078
