device,node,predict,real
cpu,carts,0.012147060301494683,0.1385700404464963
cpu,catalogue,0.002496942218504104,0.144872300173134
cpu,front_end,-0.5106732218898492,-0.4134318798211998
cpu,ip6,-0.4082518580526065,6.379973281340506
cpu,ip7,-0.2148039241238283,0.4520730422277458
cpu,orders,0.37250455611157157,0.2951633839380961
cpu,payment,-0.13002277879831245,-0.1205001736150975
cpu,user,-0.10198819387159969,3.111243151695627
cpu,shipping,0.20283642614814687,0.2285580614230294
mem,carts,0.5480066187862769,0.5865124329017781
mem,catalogue,-0.688036600840102,-0.6880366008400757
mem,front_end,-0.8330340693074167,-0.8013022204863802
mem,ip6,-0.08425629374588128,0.2583436505235683
mem,ip7,1.3291410650479067,2.021920760548272
mem,orders,1.1742407004978108,1.121360415225279
mem,payment,-1.0887993931976325,-1.0522835142095954
mem,user,0.6658955141016225,16.63615378655457
mem,shipping,0.842694730834512,0.822828831580965
