device,node,predict,real
cpu,carts,0.8164342579281422,0.2062971188256462
cpu,catalogue,-0.05590414422383511,9.319523176826884
cpu,front_end,-1.0646747132831396,-0.8782291248244176
cpu,ip6,-0.7059288269856187,-0.7461928393937068
cpu,ip7,0.2709826622499305,-0.1684030974101693
cpu,orders,0.003324756555182833,-0.0327782102369013
cpu,payment,-0.12445273499077235,-0.112206618200666
cpu,user,-0.09826182989125476,-0.1282147633691891
cpu,shipping,0.21757335629193972,0.213965264845839
mem,carts,0.060111366152392216,0.0799313554557031
mem,catalogue,5.829423194528715,-14.177605995892804
mem,front_end,-1.0225409020922165,-1.6042050859323458
mem,ip6,-1.127610669478537,-1.5074887895021525
mem,ip7,0.36589815291852973,0.2920943960762258
mem,orders,-1.5349256445626942,-1.5393137413715148
mem,payment,0.9253316416081133,0.9159375150635028
mem,user,-0.6043147958489729,0.3675813500593802
mem,shipping,-0.32806893184060226,-0.3249786808456284
