device,node,predict,real
cpu,carts,0.05139370480861219,0.5203183396928754
cpu,carts_db,0.5765284823652261,1.0339292201551342
cpu,catalogue,0.6514913167146036,1.1203446974865434
cpu,catalogue_db,0.6869882728553037,1.105171248392336
cpu,front_end,0.44419068219716784,0.2713714816557711
cpu,ip5,0.19255773391080594,0.45345796975452024
cpu,ip6,0.2934790974167118,1.239730919207918
cpu,ip7,0.03799109621533136,-6.0738249307790175
cpu,orders,0.05827785321660516,0.20575446599805763
cpu,orders_db,0.5331524427694796,1.0453190227601432
cpu,payment,0.5207799826088335,373.82555890073235
cpu,queue_master,0.14392469078908118,0.09948231387060158
cpu,rabbitmq,0.6181988801858135,0.9436112878668013
cpu,session_db,0.7448767341054433,1.2346876244306264
cpu,shipping,0.06206188977614817,0.4727742347850492
cpu,user,0.7092104969446584,0.858533382145803
cpu,user_db,0.523394686000282,0.7336785481018415
mem,carts,0.7813266574698051,2.110167008496923
mem,carts_db,0.4569781015678248,1.6601226993865055
mem,catalogue,0.7737527157045317,-3.8407821229050274
mem,catalogue_db,0.22052266081883545,-63.84210526315792
mem,front_end,0.41090900275180264,0.1457188076846499
mem,ip5,0.17722583226766642,0.1877942105213548
mem,ip6,0.47353117741762335,1.861668500326708
mem,ip7,0.13086433653980675,0.10684378933321348
mem,orders,0.8829146111012574,1.2374908854423268
mem,orders_db,0.6587298415743098,0.6269181585677757
mem,payment,0.45403930131003895,222.61572052401743
mem,queue_master,0.14719650205721815,-46.12345679012378
mem,rabbitmq,0.15808682058687426,-28.242424242424136
mem,session_db,0.4408297720797754,0.9487179487179489
mem,shipping,0.7441420117363464,1.3932999523128302
mem,user,0.8135372837774665,-0.5596072931276295
mem,user_db,0.4108166315049096,-6.2383966244725855
