device,node,predict,real
cpu,carts,0.040299824432613894,0.0070207439363615
cpu,catalogue,0.016139275288106127,-0.0366889483729641
cpu,front_end,-0.636229971589291,-0.2780376201423308
cpu,ip6,-0.5931388497094371,11.36897610244343
cpu,ip7,-0.2903635418041595,-0.7211053648075614
cpu,orders,0.0005847074378914525,21.679128427147035
cpu,payment,-0.12058630117406204,-0.1288580266632394
cpu,user,-0.11429784299370056,-0.1530259964877069
cpu,shipping,0.21712150161386837,0.2072443343976968
mem,carts,0.46104781018261676,0.4722778979304439
mem,catalogue,-0.7511146903127778,-0.6441561907721409
mem,front_end,-1.009568191377033,-1.57713229960869
mem,ip6,-0.6243816604294335,-1.2053070204760772
mem,ip7,0.6337642361213401,0.1209545951731404
mem,orders,-1.2158093613801841,-10.798346757054675
mem,payment,0.9939693726520183,0.965938511188122
mem,user,1.0228749635884937,0.8321534080742111
mem,shipping,-0.3339551242120198,-0.3417543291041572
