device,node,predict,real
cpu,carts,0.08810378961049382,-0.0052514908083487
cpu,catalogue,0.12141443002315,-0.5784495613780473
cpu,front_end,-0.39036475806647347,-0.8945651718362484
cpu,ip6,-0.1582230492987734,1.7896635181396447
cpu,ip7,-0.05631567731465048,0.2041511319834869
cpu,orders,0.051239965066282596,-0.0143405885611038
cpu,payment,-0.12440473183938054,-0.2590420297629586
cpu,user,-0.11128020994164235,-0.2456360632920426
cpu,shipping,0.2031633288845711,0.1979853552576536
mem,carts,0.552450312448083,0.5488061117881986
mem,catalogue,-0.2970743361375513,-0.3241948673601213
mem,front_end,0.08156073647856421,-0.6165853527576602
mem,ip6,0.6788163093982419,0.6887944895932819
mem,ip7,0.9474302027012328,2.1803233157783333
mem,orders,1.2321536617714628,1.2751669271009682
mem,payment,-1.1144059639402961,-1.066829258536746
mem,user,-2.075459646229309,-1.3638758600266276
mem,shipping,0.8403402538859376,0.8387215509838144
