device,node,predict,real
cpu,carts,0.3678692680696916,0.0564818740791363
cpu,catalogue,0.03943999718875528,-0.1448287718784354
cpu,front_end,-0.9266773541802249,12.055439739222267
cpu,ip6,-0.5670499632134626,3.869710848587555
cpu,ip7,0.13361835299524474,0.3861786530793864
cpu,orders,-0.01579878790437673,-0.0859423617010647
cpu,payment,-0.11569737684788778,-0.1138790269969521
cpu,user,-0.09582702084133239,-0.1926923296344713
cpu,shipping,0.255881121396438,0.2374830584274008
mem,carts,0.47203619074381997,0.4810909138120265
mem,catalogue,-1.3267403473845667,-1.0683334880955977
mem,front_end,-0.6614635585452164,3.8993124890985422
mem,ip6,-0.7219234627441793,1.0958126052020354
mem,ip7,0.9320958236020833,0.0551003249919039
mem,orders,-1.5336860691929697,-1.531132543931327
mem,payment,0.9660900293582614,0.9877571276789094
mem,user,0.35499325237288265,0.4260091242268782
mem,shipping,-0.33807545887201207,-0.3435201868155603
