device,node,predict,real
cpu,carts,0.04016365988329081,0.0259253080949737
cpu,catalogue,0.026904315807797233,-0.1407864982638864
cpu,front_end,-1.1594553248757977,-1.152258298477911
cpu,ip6,-0.28223003124123397,0.7876349101285003
cpu,ip7,0.2594692929326867,0.1737922595513902
cpu,orders,1.1158623249939839,1.5328140053139176
cpu,payment,-0.13092356800038654,8.451174914959745
cpu,user,-0.13114590684952226,-0.1389021300398215
cpu,shipping,0.19063019617592405,0.2084009800439836
mem,carts,0.46119655306669616,0.4614568531138199
mem,catalogue,-0.7361831618868709,-0.7355737117470487
mem,front_end,-1.4331020843083575,-0.9485275268112932
mem,ip6,-0.9595534240890417,-0.604167118263173
mem,ip7,1.1076168756763172,1.0528060684987364
mem,orders,-3.806199594513456,-3.312253601184644
mem,payment,0.9750296013926372,11.84615526792706
mem,user,0.7088850552573925,-0.3136009926740335
mem,shipping,-0.32924617031488573,-0.3382226136813067
