device,node,predict,real
cpu,carts,0.2774656447676324,0.0858180826278255
cpu,catalogue,0.11580308059868444,-0.3729305955085025
cpu,front_end,-0.7001475392107145,-0.93793838743671
cpu,ip6,-0.5434764677394652,5.641798105938597
cpu,ip7,-0.12316669568773198,0.1334245341038985
cpu,orders,0.01996759413819497,36.12408599723447
cpu,payment,-0.11303677624649144,-0.2217152055718164
cpu,user,-0.09018065082648176,-0.2233939250219577
cpu,shipping,0.20994758058169835,0.2020176087075008
mem,carts,0.46089906729853736,0.401773770877844
mem,catalogue,-0.7901194992620472,-0.7959092755904458
mem,front_end,-1.0703657511909028,-1.02471281597431
mem,ip6,-0.7740216360875808,-0.6192216612688087
mem,ip7,0.7064839720553159,0.9641873592425082
mem,orders,-1.529645053487665,-0.5526613300836426
mem,payment,1.014878880122377,0.9886662366993793
mem,user,-1.2527205823420797,0.3148538465423434
mem,shipping,-0.3260087645106024,-0.2720029495028264
