device,node,predict,real
cpu,carts,0.02252093194990727,23.095917570751094
cpu,catalogue,-0.1044496431650455,-0.3312047629800824
cpu,front_end,1.5091111935931518,1.2598172939850192
cpu,ip6,0.5611440369197225,0.8171908818688968
cpu,ip7,-0.2254775039563738,21.496631818806375
cpu,orders,-0.032538307183054484,-0.1601512533928382
cpu,payment,-0.14044447791047218,-0.1559148603964386
cpu,user,-0.11562129331026721,-0.2204733207943675
cpu,shipping,0.22634674587988504,0.1466094710332599
mem,carts,-0.7095586875053135,-7.057830608480123
mem,catalogue,0.43091385589238235,0.3943468475024542
mem,front_end,1.0737567162461465,0.2948971779082238
mem,ip6,-0.2631689919149755,-0.4661944134343888
mem,ip7,-0.564507959195976,-8.25513946090072
mem,orders,-1.534305856877846,-1.539462490415883
mem,payment,0.988817754869478,0.9513927668609712
mem,user,-0.17465689556837774,0.949008956409233
mem,shipping,-1.9972459335655595,-2.0034264355555664
